Gn;SiO2;Al2O3;Fe2O3;CaO;SO3;K2O;Na2O;Dansite;s.CaO;C3S;C2S;C3A;C4AF;Alk Eq.;Toplam Alkali;Blaine;1 Gn;2 Gn;7 Gn;28 Gn
02.07.2023;21,20;5,57;3,60;66,37;0,94;0,52;0,11;1200;0,68;61,05;14,75;8,68;10,95;0,45;0,69;3025;14,40;25,90;43,30;56,80
03.07.2023;21,17;5,63;3,63;66,36;0,97;0,53;0,07;1209;0,50;61,44;14,37;8,78;11,05;0,42;0,64;3009;15,00;25,20;39,20;54,70
04.07.2023;21,11;5,54;3,72;66,30;0,97;0,53;0,08;1218;0,58;61,80;13,93;8,39;11,32;0,43;0,65;3075;15,10;25,80;41,70;56,70
05.07.2023;21,15;5,54;3,83;66,25;0,90;0,55;0,04;1256;0,62;61,17;14,52;8,21;11,65;0,40;0,61;3040;14,90;24,70;39,70;54,60
06.07.2023;21,10;5,53;3,88;66,50;0,72;0,55;0,04;1255;1,00;61,53;14,10;8,10;11,81;0,40;0,61;2980;15,00;24,70;39,70;53,50
07.07.2023;21,04;5,63;3,71;66,21;0,97;0,58;0,05;1187;0,65;61,09;14,26;8,65;11,29;0,43;0,66;2995;15,00;24,40;38,60;53,40
08.07.2023;21,32;5,67;3,67;66,02;0,92;0,56;0,06;1218;0,58;58,40;17,09;8,82;11,17;0,43;0,65;2992;14,90;24,90;39,70;54,40
09.07.2023;21,18;5,79;3,63;65,96;1,05;0,58;0,04;1197;0,69;57,65;17,25;9,21;11,05;0,42;0,64;2998;14,80;25,50;40,60;54,60
10.07.2023;;;;;;;;;;;;;;;;;;;;
11.07.2023;;;;;;;;;;;;;;;;;;;;
12.07.2023;;;;;;;;;;;;;;;;;;;;
13.07.2023;21,13;5,59;3,50;66,20;1,16;0,58;0,05;1283;0,63;60,47;14,98;8,90;10,65;0,43;0,66;3045;15,00;24,30;41,80;56,60
14.07.2023;20,85;5,50;3,65;66,66;0,99;0,55;0,07;1198;0,72;64,98;10,78;8,41;11,11;0,43;0,66;3075;15,40;25,70;42,20;55,70
15.07.2023;20,97;5,53;3,58;66,73;0,94;0,55;0,05;1203;0,69;64,52;11,48;8,60;10,89;0,41;0,63;3064;15,80;26,70;42,20;56,60
16.07.2023;21,06;5,74;3,62;66,47;0,82;0,48;0,08;1209;0,69;61,65;13,90;9,09;11,02;0,40;0,60;2985;15,10;25,10;41,70;58,10
17.07.2023;21,13;5,79;3,58;66,37;0,77;0,50;0,09;1230;0,60;60,94;14,63;9,29;10,89;0,42;0,64;3007;14,70;24,30;39,10;54,80
18.07.2023;21,39;5,52;3,36;66,54;0,90;0,50;0,05;1244;0,56;61,58;14,90;8,95;10,22;0,38;0,58;3090;15,70;26,00;42,70;57,80
19.07.2023;21,77;5,70;3,40;65,93;0,87;0,53;0,07;1193;0,55;55,06;20,90;9,36;10,35;0,42;0,64;2996;13,60;20,90;34,60;52,60
20.07.2023;21,33;5,56;3,53;66,59;0,82;0,52;0,05;1229;0,61;61,75;14,59;8,77;10,74;0,39;0,60;3022;13,90;25,10;40,40;56,10
21.07.2023;20,99;5,72;3,65;66,57;0,86;0,53;0,05;1236;0,60;62,93;12,73;8,99;11,11;0,40;0,61;3066;16,00;26,20;41,10;57,00
22.07.2023;21,33;5,79;3,60;66,26;0,83;0,53;0,05;1250;0,59;58,81;16,81;9,26;10,95;0,40;0,61;3011;15,30;24,70;38,60;57,00
23.07.2023;21,08;5,75;3,54;66,56;0,85;0,53;0,05;1235;0,57;62,31;13,45;9,25;10,77;0,40;0,61;3031;15,20;25,10;38,40;56,60
24.07.2023;21,27;5,74;3,42;66,47;0,81;0,51;0,11;1223;0,50;61,14;14,88;9,43;10,41;0,45;0,68;3026;16,10;25,40;38,40;54,50
25.07.2023;21,59;5,79;3,34;66,11;0,92;0,56;0,04;1210;0,45;56,91;18,99;9,70;10,16;0,41;0,62;3010;16,30;24,90;39,20;53,60
26.07.2023;21,14;5,72;3,44;66,42;0,94;0,55;0,08;1182;0,72;60,76;14,79;9,34;10,47;0,44;0,67;2975;15,50;23,20;35,40;51,60
27.07.2023;21,04;5,67;3,38;66,28;1,32;0,56;0,04;1227;0,54;61,03;14,31;9,31;10,29;0,41;0,62;3066;15,30;24,20;39,30;54,40
28.07.2023;21,11;5,51;3,44;66,75;0,91;0,57;0,09;1195;0,62;64,24;12,09;8,79;10,47;0,47;0,71;3034;15,80;26,60;42,50;55,50
29.07.2023;20,96;5,47;3,58;66,94;0,83;0,54;0,05;1215;0,68;66,21;10,17;8,45;10,89;0,41;0,62;3055;15,20;26,10;40,80;53,60
30.07.2023;21,08;5,60;3,59;66,47;0,91;0,54;0,08;1228;0,69;62,22;13,52;8,77;10,92;0,44;0,66;3047;15,60;25,30;40,50;55,10
31.07.2023;21,18;5,78;3,60;66,25;0,84;0,52;0,07;1162;0,82;59,01;16,23;9,23;10,95;0,41;0,63;3003;14,50;23,10;36,60;51,80
01.08.2023;21,05;5,64;3,59;66,50;0,91;0,51;0,09;1215;0,49;63,12;12,76;8,88;10,92;0,43;0,65;3032;14,80;23,80;40,50;55,30
02.08.2023;21,25;5,69;3,54;66,34;0,89;0,53;0,06;1232;0,54;60,54;15,28;9,10;10,77;0,41;0,62;3055;15,50;24,90;40,20;54,50
03.08.2023;21,05;5,50;3,62;66,50;0,95;0,54;0,05;1237;0,56;63,62;12,38;8,46;11,02;0,41;0,62;3075;17,20;26,10;41,90;56,20
04.08.2023;20,96;5,64;3,68;66,36;0,98;0,54;0,06;1243;0,52;62,78;12,75;8,73;11,20;0,42;0,63;3014;15,60;25,20;41,50;57,00
05.08.2023;21,02;5,59;3,74;66,50;0,92;0,51;0,05;1229;0,54;63,24;12,58;8,49;11,38;0,39;0,59;2972;14,40;23,70;39,10;54,90
06.08.2023;21,08;5,75;3,68;66,34;0,90;0,50;0,06;1218;0,57;61,07;14,39;9,02;11,20;0,39;0,59;2968;14,70;24,30;40,20;56,60
07.08.2023;20,95;5,72;3,66;66,31;0,98;0,53;0,12;1232;0,53;62,11;13,24;8,97;11,14;0,47;0,71;2993;14,70;24,20;39,80;55,40
08.08.2023;21,12;5,81;3,70;66,14;0,97;0,51;0,05;1252;0,48;59,69;15,54;9,14;11,26;0,39;0,59;3006;14,70;23,70;39,30;57,50
09.08.2023;20,85;5,66;3,56;66,50;1,03;0,53;0,05;1227;0,59;63,80;11,67;8,98;10,83;0,40;0,61;3019;16,00;26,20;43,00;55,80
10.08.2023;21,01;5,78;3,38;66,33;1,01;0,59;0,08;1238;0,52;61,68;13,73;9,60;10,29;0,47;0,71;3038;15,50;24,50;41,40;57,20
11.08.2023;21,17;5,71;3,33;66,39;1,01;0,55;0,06;1236;0,53;61,21;14,54;9,50;10,13;0,42;0,64;3020;14,60;24,60;38,20;55,60
12.08.2023;20,99;5,77;3,31;66,40;1,05;0,57;0,10;1231;0,54;62,09;13,36;9,70;10,07;0,48;0,72;3019;15,40;25,20;41,90;55,20
13.08.2023;21,10;5,70;3,30;66,47;1,00;0,52;0,06;1215;0,59;61,96;13,77;9,53;10,04;0,40;0,61;3014;15,40;25,40;41,40;56,10
14.08.2023;20,98;5,63;3,40;66,67;1,00;0,53;0,05;1182;0,67;63,69;12,13;9,17;10,35;0,40;0,61;3034;15,50;25,50;39,40;54,40
15.08.2023;21,00;5,88;3,33;66,44;0,97;0,51;0,15;1218;0,57;61,52;13,82;9,95;10,13;0,49;0,74;2975;15,30;25,00;41,60;56,00
16.08.2023;21,09;5,54;3,50;66,66;0,88;0,51;0,09;1242;0,66;63,66;12,47;8,77;10,65;0,43;0,65;2998;15,70;24,90;41,30;56,60
17.08.2023;21,10;5,74;3,63;66,29;0,92;0,53;0,05;1269;0,55;60,88;14,59;9,08;11,05;0,40;0,61;3058;15,60;25,40;41,00;57,10
18.08.2023;21,18;5,86;3,58;66,14;0,85;0,52;0,12;1258;0,53;59,21;16,08;9,48;10,89;0,46;0,70;3002;13,80;23,70;38,20;53,90
19.08.2023;21,19;5,60;3,71;66,17;0,90;0,53;0,09;1241;0,55;60,59;15,06;8,57;11,29;0,44;0,67;3002;14,40;23,70;38,00;53,00
20.08.2023;21,26;5,68;3,74;65,99;0,92;0,54;0,07;1250;0,45;59,10;16,39;8,73;11,38;0,43;0,65;2998;14,30;24,20;39,20;56,20
21.08.2023;21,22;5,53;3,56;66,43;0,87;0,54;0,07;1225;0,55;62,19;13,94;8,64;10,83;0,43;0,65;2999;14,60;24,50;38,20;54,20
22.08.2023;21,28;5,82;3,59;65,96;0,88;0,59;0,05;1266;0,50;58,01;17,27;9,36;10,92;0,44;0,67;3022;15,60;25,70;39,90;56,10
23.08.2023;21,23;5,72;3,48;66,13;0,98;0,60;0,06;1251;0,49;59,66;15,88;9,28;10,59;0,45;0,69;2994;16,00;25,90;40,90;56,10
24.08.2023;21,50;5,96;3,13;65,82;0,98;0,52;0,17;1277;0,46;55,36;19,90;10,50;9,52;0,51;0,78;3003;15,20;24,40;39,10;55,80
25.08.2023;21,38;5,77;3,41;65,76;1,12;0,63;0,08;1243;0,56;56,10;19,00;9,53;10,38;0,49;0,75;2975;15,90;24,80;39,40;54,90
26.08.2023;21,27;5,86;3,45;65,71;1,19;0,57;0,09;1280;0,47;56,24;18,58;9,70;10,50;0,47;0,71;3002;15,20;24,30;39,80;55,50
27.08.2023;21,54;5,61;3,48;65,93;1,04;0,52;0,06;1227;0,61;56,57;19,10;8,99;10,59;0,40;0,61;2991;13,90;23,10;39,30;55,90
28.08.2023;21,37;5,46;3,52;66,22;1,02;0,53;0,12;1228;0,55;60,30;15,80;8,52;10,71;0,47;0,71;2970;15,50;24,20;40,00;58,30
29.08.2023;21,34;5,52;3,56;66,30;0,96;0,52;0,05;1250;0,54;60,60;15,49;8,61;10,83;0,39;0,60;3023;15,00;24,50;39,00;56,40
30.08.2023;21,18;5,75;3,56;66,10;1,00;0,54;0,05;1235;0,55;59,31;16,01;9,22;10,83;0,41;0,62;2973;15,50;24,40;40,40;57,20
31.08.2023;21,24;5,73;3,56;65,94;1,04;0,57;0,08;1235;0,56;58,18;17,03;9,17;10,83;0,46;0,69;2974;15,00;24,50;39,40;54,40
01.09.2023;21,08;5,73;3,52;66,09;1,03;0,60;0,05;1243;0,56;60,09;15,13;9,24;10,71;0,44;0,68;3023;15,40;25,20;40,40;55,40
02.09.2023;21,38;5,69;3,60;65,98;0,96;0,55;0,07;1246;0,52;57,88;17,66;8,99;10,95;0,43;0,66;3050;15,00;24,40;39,20;54,60
03.09.2023;21,09;5,80;3,52;65,96;1,05;0,59;0,05;1250;0,58;58,88;16,07;9,42;10,71;0,44;0,67;3021;14,90;24,70;39,70;53,40
04.09.2023;21,13;5,91;3,40;65,86;1,08;0,59;0,04;1238;0,51;57,80;17,00;9,92;10,35;0,43;0,65;2968;14,20;22,90;38,90;53,50
05.09.2023;21,12;5,72;3,32;66,16;1,06;0,60;0,06;1229;0,58;60,26;15,12;9,55;10,10;0,45;0,69;3047;15,80;25,50;41,40;56,70
06.09.2023;21,02;5,84;3,27;65,99;1,16;0,59;0,05;1224;0,58;59,31;15,55;9,95;9,95;0,44;0,67;2986;16,00;25,40;39,60;55,40
07.09.2023;20,89;5,77;3,26;66,24;1,21;0,59;0,04;1187;0,66;61,33;13,65;9,78;9,92;0,43;0,65;3010;16,90;26,30;41,80;56,60
08.09.2023;20,79;5,70;3,42;66,31;1,17;0,61;0,07;1228;0,63;62,85;12,22;9,33;10,41;0,47;0,72;3050;16,90;26,30;41,30;55,60
09.09.2023;21,07;5,78;3,43;66,13;1,05;0,60;0,13;1240;0,61;59,86;15,27;9,52;10,44;0,52;0,80;2965;15,90;24,90;40,20;54,70
10.09.2023;21,11;5,88;3,41;66,05;1,08;0,59;0,06;1211;0,61;58,50;16,41;9,82;10,38;0,45;0,68;2973;15,60;24,90;40,30;55,80
11.09.2023;20,99;5,78;3,33;66,33;1,07;0,61;0,03;1228;0,57;61,53;13,78;9,69;10,13;0,43;0,66;3002;16,40;25,90;40,30;55,60
12.09.2023;21,20;5,83;3,26;66,02;1,07;0,60;0,05;1243;0,59;58,36;16,78;9,94;9,92;0,44;0,68;2990;15,70;25,00;41,40;56,70
13.09.2023;21,09;5,76;3,30;66,24;1,06;0,59;0,06;1220;0,57;60,61;14,76;9,69;10,04;0,45;0,68;2994;15,70;25,30;42,10;58,20
14.09.2023;21,23;5,73;3,33;66,16;1,04;0,61;0,09;1221;0,70;58,91;16,45;9,56;10,13;0,49;0,75;3015;16,20;26,00;41,90;56,40
15.09.2023;21,13;5,69;3,37;66,44;1,05;0,56;0,07;1217;0,58;61,48;14,22;9,38;10,25;0,44;0,67;3091;15,80;24,80;42,40;58,60
16.09.2023;21,26;5,65;3,31;66,31;1,11;0,57;0,05;1220;0,59;60,11;15,63;9,38;10,07;0,43;0,65;3006;16,00;24,80;41,40;58,20
17.09.2023;21,22;5,79;3,33;66,24;1,00;0,56;0,04;1215;0,51;59,79;15,75;9,72;10,13;0,41;0,62;3060;15,70;25,10;40,90;56,90
18.09.2023;21,06;5,86;3,24;66,38;1,03;0,58;0,07;1210;0,60;60,79;14,55;10,05;9,86;0,45;0,69;3025;16,50;25,90;41,60;56,70
19.09.2023;21,29;5,86;3,17;66,33;1,03;0,57;0,03;1211;0,57;59,06;16,51;10,17;9,65;0,41;0,62;3094;17,60;26,10;40,60;55,90
20.09.2023;21,39;5,86;3,26;66,00;1,05;0,60;0,04;1228;0,69;56,28;18,89;10,02;9,92;0,43;0,66;2990;15,10;24,30;39,10;55,80
21.09.2023;21,13;5,73;3,27;66,23;1,17;0,61;0,04;1183;0,67;59,79;15,50;9,66;9,95;0,44;0,67;3090;17,70;25,30;38,90;54,10
22.09.2023;21,18;5,81;3,37;66,05;1,17;0,60;0,06;1234;0,58;58,36;16,72;9,70;10,25;0,45;0,69;3100;15,90;24,90;39,20;55,20
23.09.2023;21,15;5,74;3,27;66,40;1,07;0,59;0,04;1214;0,65;60,63;14,92;9,68;9,95;0,43;0,65;3044;17,00;25,40;38,80;55,20
24.09.2023;20,98;5,70;3,26;66,54;1,07;0,59;0,05;1234;0,87;61,88;13,49;9,60;9,92;0,44;0,67;3014;17,80;26,30;42,40;55,30
25.09.2023;21,05;5,76;3,26;66,21;1,19;0,63;0,04;1221;0,58;60,44;14,78;9,75;9,92;0,45;0,69;3032;17,40;25,10;38,90;54,50
26.09.2023;21,12;5,74;3,21;66,17;1,19;0,62;0,07;1225;0,60;59,87;15,41;9,78;9,77;0,48;0,73;3027;16,80;24,80;40,70;56,60
27.09.2023;21,00;5,86;3,21;66,16;1,21;0,60;0,07;1219;0,71;59,43;15,40;10,10;9,77;0,46;0,71;2995;16,80;24,50;40,10;55,60
28.09.2023;21,11;5,88;3,17;66,21;1,15;0,58;0,04;1204;0,55;59,54;15,63;10,22;9,65;0,42;0,64;2975;16,00;24,10;39,20;55,90
29.09.2023;20,96;5,92;3,13;66,34;1,13;0,60;0,04;1212;0,71;60,41;14,55;10,40;9,52;0,43;0,66;3060;16,70;25,50;40,60;55,60
30.09.2023;20,93;5,89;3,14;66,42;1,19;0,59;0,06;1217;0,79;60,65;14,28;10,30;9,56;0,45;0,68;3049;17,10;25,50;40,60;56,20
01.10.2023;20,86;5,84;3,16;66,59;1,11;0,59;0,04;1177;1,07;61,27;13,61;10,14;9,62;0,43;0,65;3062;17,00;24,90;39,60;55,30
02.10.2023;20,97;5,81;3,16;66,07;1,34;0,65;0,07;1225;0,58;59,86;14,99;10,06;9,62;0,50;0,76;3031;16,70;24,90;39,80;55,40
03.10.2023;21,09;5,92;3,16;66,08;1,25;0,61;0,04;1218;0,57;58,54;16,32;10,35;9,62;0,44;0,67;3016;14,90;23,20;38,00;54,40
04.10.2023;20,98;6,01;3,15;66,12;1,20;0,60;0,08;1211;0,65;58,77;15,84;10,60;9,59;0,47;0,72;3012;16,30;25,10;37,80;53,20
05.10.2023;21,19;5,91;3,14;66,05;1,28;0,60;0,06;1206;0,60;57,55;17,36;10,35;9,56;0,45;0,69;3014;16,00;24,40;38,90;54,30
06.10.2023;21,36;5,81;3,13;66,13;1,19;0,57;0,09;1205;0,54;57,77;17,68;10,11;9,52;0,47;0,71;2972;14,60;22,80;36,40;52,20
07.10.2023;21,22;5,77;3,08;66,37;1,25;0,57;0,08;1213;0,50;60,14;15,49;10,09;9,37;0,46;0,69;2958;15,50;23,50;39,60;54,80
08.10.2023;21,21;5,87;3,18;66,28;1,19;0,58;0,03;1221;0,54;59,05;16,29;10,18;9,68;0,41;0,63;2995;16,00;24,10;39,10;56,00
09.10.2023;21,23;5,90;3,16;66,34;1,09;0,56;0,05;1203;0,59;59,05;16,34;10,29;9,62;0,42;0,64;2959;16,40;24,70;38,40;55,30
10.10.2023;21,03;5,88;3,17;66,39;1,16;0,58;0,09;1182;0,78;59,92;15,11;10,22;9,65;0,47;0,72;2992;17,00;26,00;41,00;54,90
11.10.2023;21,16;5,85;3,15;66,13;1,27;0,59;0,09;1188;0,61;58,48;16,57;10,18;9,59;0,48;0,73;2992;16,60;24,20;39,30;55,20
12.10.2023;21,12;5,81;3,15;66,33;1,22;0,58;0,07;1185;0,51;60,42;15,00;10,07;9,59;0,45;0,69;3003;16,50;24,80;40,30;55,70
13.10.2023;20,77;5,69;3,30;66,36;1,41;0,63;0,04;1193;0,68;62,56;12,38;9,50;10,04;0,45;0,69;3050;18,30;26,70;44,70;57,00
14.10.2023;21,08;6,02;3,22;66,10;1,17;0,60;0,03;1212;0,59;58,09;16,64;10,51;9,80;0,42;0,65;2990;15,90;23,70;39,20;56,30
15.10.2023;21,01;5,82;3,13;66,32;1,34;0,63;0,03;1214;0,62;60,38;14,71;10,13;9,52;0,44;0,68;2990;16,40;24,70;42,40;57,90
16.10.2023;20,86;5,78;3,07;66,67;1,28;0,62;0,03;1194;0,58;63,64;11,82;10,13;9,34;0,44;0,67;2980;18,20;26,00;42,40;58,40
17.10.2023;20,80;5,78;3,11;66,59;1,35;0,63;0,04;1180;0,67;63,10;12,07;10,06;9,45;0,45;0,69;3050;17,00;25,70;42,90;56,70
18.10.2023;21,00;5,82;3,16;66,42;1,22;0,56;0,04;1202;0,69;60,88;14,30;10,08;9,62;0,41;0,62;2982;16,40;24,80;42,00;58,30
19.10.2023;20,97;5,78;3,11;66,57;1,19;0,56;0,07;1143;0,75;61,90;13,45;10,06;9,46;0,44;0,67;2986;16,10;25,10;41,70;56,30
20.10.2023;20,88;5,65;3,20;66,78;1,17;0,57;0,06;1119;0,71;64,40;11,30;9,56;9,74;0,44;0,66;3033;16,40;26,30;41,90;56,40
21.10.2023;20,83;5,73;3,21;66,69;1,20;0,57;0,06;1173;0,70;63,82;11,60;9,76;9,77;0,44;0,66;2988;16,20;24,30;39,00;54,40
22.10.2023;21,01;5,76;3,13;66,58;1,20;0,56;0,04;1180;0,63;62,20;13,33;9,97;9,52;0,41;0,62;2971;16,80;25,70;41,40;55,10
23.10.2023;20,85;5,80;3,25;66,62;1,08;0,56;0,06;1195;0,65;63,40;11,97;9,88;9,89;0,43;0,65;3001;17,10;24,90;40,50;57,20
24.10.2023;21,13;5,88;3,13;66,43;1,10;0,57;0,04;1173;0,67;60,00;15,34;10,29;9,52;0,42;0,63;2986;16,60;24,60;39,30;53,80
25.10.2023;21,17;5,92;3,23;66,35;0,89;0,57;0,06;1228;0,52;60,16;15,33;10,23;9,83;0,44;0,66;3065;15,10;23,20;36,90;52,60
26.10.2023;21,13;5,81;3,14;66,40;1,02;0,59;0,04;1169;0,54;61,09;14,52;10,09;9,56;0,43;0,65;2997;15,10;22,00;35,00;51,70
27.10.2023;21,15;5,77;3,25;66,38;0,97;0,57;0,04;1156;0,60;60,86;14,75;9,80;9,89;0,42;0,63;3003;15,70;23,40;36,30;51,90
28.10.2023;21,08;5,75;3,35;66,16;1,07;0,60;0,07;1200;0,63;60,08;15,13;9,58;10,19;0,46;0,71;3070;17,00;25,20;38,60;53,60
29.10.2023;21,22;5,88;3,31;66,18;0,92;0,57;0,04;1183;0,58;58,92;16,41;9,99;10,07;0,42;0,63;3080;17,10;26,10;36,40;52,00
30.10.2023;21,18;5,80;3,36;66,36;0,90;0,57;0,06;1164;0,68;60,07;15,43;9,69;10,22;0,44;0,66;3085;17,00;24,70;37,80;54,60
31.10.2023;20,93;5,65;3,43;66,82;0,81;0,55;0,11;1196;0,67;65,05;10,96;9,18;10,44;0,47;0,72;3024;17,00;25,70;38,10;54,00
01.11.2023;21,08;5,81;3,44;66,24;0,97;0,59;0,07;1213;0,59;60,33;14,95;9,58;10,47;0,46;0,70;3036;16,00;24,10;39,00;54,50
02.11.2023;21,16;5,71;3,38;66,35;0,90;0,55;0,06;1211;0,66;60,84;14,79;9,42;10,29;0,42;0,64;3025;15,70;24,60;37,10;53,60
03.11.2023;21,13;5,63;3,30;66,49;0,96;0,55;0,10;1190;0,58;62,44;13,50;9,34;10,04;0,46;0,70;2990;15,10;24,70;37,60;53,40
04.11.2023;21,31;5,66;3,41;66,17;0,97;0,55;0,07;1182;0,61;59,26;16,41;9,24;10,38;0,43;0,66;3031;15,80;23,50;35,90;53,20
05.11.2023;21,18;5,71;3,34;66,39;0,93;0,55;0,11;1190;0,77;60,37;15,20;9,49;10,16;0,47;0,72;2969;15,50;23,30;35,80;52,80
06.11.2023;21,10;5,77;3,33;66,40;0,94;0,56;0,09;1182;0,71;60,85;14,61;9,66;10,13;0,46;0,70;2965;15,50;23,50;35,20;51,60
07.11.2023;21,06;5,74;3,34;66,34;0,97;0,58;0,10;1155;0,70;61,05;14,35;9,57;10,16;0,48;0,73;3039;16,00;23,70;35,20;50,70
08.11.2023;21,15;5,63;3,32;66,42;0,98;0,58;0,07;1188;0,68;61,51;14,26;9,31;10,10;0,45;0,69;2982;15,90;24,00;36,80;52,50
09.11.2023;21,24;5,69;3,28;66,33;0,99;0,60;0,06;1179;0,58;60,50;15,28;9,54;9,98;0,45;0,69;2977;14,60;22,90;36,10;52,30
10.11.2023;21,08;5,63;3,43;66,39;0,96;0,61;0,07;1194;0,65;61,95;13,73;9,12;10,44;0,47;0,72;3055;16,30;25,60;39,80;53,10
11.11.2023;21,16;5,64;3,33;66,58;0,90;0,59;0,06;1180;0,66;62,32;13,68;9,32;10,13;0,45;0,68;2985;16,60;24,60;37,90;53,20
12.11.2023;21,03;5,69;3,38;66,65;0,89;0,56;0,08;1190;0,73;62,93;12,85;9,37;10,29;0,45;0,68;3005;15,40;24,50;38,30;54,30
13.11.2023;21,20;5,80;3,33;66,31;0,95;0,58;0,06;1185;0,69;59,57;15,86;9,74;10,13;0,44;0,67;2998;15,60;24,40;37,40;51,00
14.11.2023;21,03;5,69;3,25;66,71;0,95;0,59;0,06;1195;0,75;63,10;12,71;9,59;9,89;0,45;0,68;3075;16,80;24,90;37,70;54,00
15.11.2023;21,16;5,84;3,28;66,46;0,96;0,58;0,04;1214;0,64;60,47;15,07;9,93;9,98;0,42;0,64;3022;16,20;23,70;38,30;54,00
16.11.2023;21,22;5,75;3,14;66,58;0,99;0,59;0,04;1204;0,65;61,18;14,71;9,93;9,56;0,43;0,65;3009;16,00;23,90;40,40;54,40
17.11.2023;21,38;5,76;3,10;66,30;1,01;0,59;0,08;1202;0,63;58,84;16,93;10,03;9,43;0,47;0,71;3040;16,50;25,50;42,10;56,70
18.11.2023;21,26;5,66;3,12;66,59;1,04;0,60;0,04;1211;0,77;60,92;15,02;9,73;9,49;0,43;0,66;3026;16,30;26,50;41,00;55,50
19.11.2023;21,36;5,83;3,15;66,40;0,94;0,58;0,04;1248;0,64;59,01;16,74;10,13;9,59;0,42;0,64;2997;16,40;25,50;41,10;55,60
20.11.2023;21,04;5,74;3,26;66,57;1,01;0,61;0,05;1223;0,65;62,34;13,31;9,70;9,92;0,45;0,69;3052;16,80;26,00;41,90;56,00
21.11.2023;20,88;5,84;3,26;66,54;1,04;0,59;0,07;1225;0,57;63,01;12,36;9,97;9,92;0,46;0,70;3040;17,00;25,70;41,50;54,30
22.11.2023;21,00;5,79;3,26;66,44;1,06;0,58;0,09;1231;0,64;61,68;13,70;9,83;9,92;0,47;0,72;3059;15,50;24,90;41,70;57,60
23.11.2023;21,08;5,86;3,28;66,35;1,02;0,58;0,06;1233;0,56;60,65;14,71;9,99;9,98;0,44;0,67;2962;15,60;24,60;40,50;56,50
24.11.2023;20,81;5,73;3,16;66,79;1,12;0,58;0,11;1193;0,61;65,05;10,62;9,84;9,62;0,49;0,75;3075;16,80;25,90;42,50;56,70
25.11.2023;20,99;5,68;3,20;66,73;1,07;0,56;0,11;1208;0,69;63,53;12,28;9,64;9,74;0,48;0,73;3025;15,20;24,40;42,90;56,30
26.11.2023;21,33;5,96;3,30;66,14;0,92;0,55;0,04;1236;0,63;57,19;18,03;10,22;10,04;0,40;0,61;3070;16,50;25,60;41,90;55,90
27.11.2023;20,99;5,72;3,23;66,68;0,97;0,56;0,07;1214;0,77;62,97;12,70;9,70;9,83;0,44;0,67;2995;15,80;24,70;39,80;54,80
28.11.2023;21,00;5,84;3,30;66,58;0,90;0,57;0,07;1236;0,65;62,27;13,25;9,90;10,04;0,45;0,68;2980;15,30;24,60;42,40;54,50
29.11.2023;21,05;5,81;3,31;66,61;0,95;0,57;0,04;1263;0,65;62,06;13,56;9,80;10,07;0,42;0,63;3006;14,90;24,30;41,30;56,00
30.11.2023;21,26;5,82;3,28;66,28;0,96;0,55;0,04;1226;0,61;59,23;16,29;9,88;9,98;0,40;0,61;2980;15,00;24,30;40,30;55,10
01.12.2023;20,97;5,77;3,33;66,71;0,90;0,57;0,04;1220;0,70;63,25;12,43;9,66;10,13;0,42;0,63;3000;16,80;26,10;41,60;56,60
02.12.2023;21,11;5,82;3,40;66,44;0,83;0,58;0,07;1235;0,63;61,14;14,42;9,68;10,35;0,45;0,69;3022;14,70;25,10;39,60;54,80
03.12.2023;21,07;5,59;3,42;66,76;0,77;0,59;0,08;1238;0,73;64,03;12,13;9,03;10,41;0,47;0,71;2990;16,60;26,50;43,20;56,00
04.12.2023;21,06;5,62;3,50;66,62;0,87;0,60;0,05;1224;0,66;63,22;12,71;8,98;10,65;0,44;0,68;3025;16,00;25,70;40,80;54,60
05.12.2023;20,86;5,51;3,69;66,85;0,85;0,59;0,05;1238;0,75;65,83;10,17;8,37;11,23;0,44;0,67;3046;15,70;26,00;42,50;57,00
06.12.2023;21,04;5,59;3,85;66,15;1,05;0,54;0,13;1219;0,73;60,36;14,81;8,31;11,72;0,49;0,74;2988;13,90;24,00;40,50;57,30
07.12.2023;21,14;5,53;3,84;66,19;0,99;0,61;0,09;1240;0,67;60,59;14,92;8,16;11,69;0,49;0,75;2974;14,70;23,80;38,80;55,30
08.12.2023;21,11;5,53;3,67;66,28;1,04;0,61;0,07;1250;0,63;61,45;14,19;8,45;11,17;0,47;0,72;2990;15,10;24,40;40,00;55,90
09.12.2023;21,24;5,48;3,60;66,30;1,02;0,58;0,07;1240;0,66;60,92;14,96;8,44;10,95;0,45;0,69;2961;14,20;24,00;38,40;53,50
10.12.2023;21,39;5,42;3,67;66,26;1,02;0,59;0,04;1217;0,73;59,63;16,36;8,16;11,17;0,43;0,65;2990;15,50;25,10;38,40;54,30
11.12.2023;21,22;5,39;3,67;66,43;1,00;0,60;0,08;1238;0,68;62,08;14,03;8,08;11,17;0,47;0,72;2980;14,90;24,90;40,80;56,50
12.12.2023;21,31;5,56;3,68;65,96;1,16;0,58;0,05;1250;0,54;58,44;17,03;8,51;11,20;0,43;0,66;3001;14,20;24,20;38,50;55,50
13.12.2023;21,22;5,61;3,62;65,95;1,23;0,59;0,05;1248;0,59;58,43;16,78;8,75;11,02;0,44;0,67;2975;15,30;24,00;37,90;52,70
